src,tgt,arch,seed,d_obs,T,ece_cal,s_hat,b_hat,pi_l1,gap_cal,e_raw
chapman,cpsc,inceptiontime,42,0.08369531088965343,1.432226584951807,0.02710868778886548,1.049571704228512,0.22444235311311303,0.6731880663348238,0.027108764877338598,0.4086441776969215
chapman,cpsc,inceptiontime,43,0.054928455750685334,1.2633181192034328,0.027427358510459313,1.1028996590373474,0.034282849735483595,0.6731880663348238,0.01510847187090425,0.3293825154549066
chapman,cpsc,inceptiontime,44,0.10419338434619668,1.6118524192088628,0.044039779085291324,0.9120024318044804,0.5730216042269569,0.6731880663348238,0.042779857670194654,0.4059239742850933
chapman,cpsc,inceptiontime,45,0.04663967560254911,1.2438574579845358,0.02045195924326169,0.8947676879499653,0.16750961316508992,0.6731880663348238,0.005636709305058218,0.3709262429103146
chapman,cpsc,inceptiontime,46,0.07627140411336086,1.4799010609485748,0.023424850005944485,0.9301546743831195,0.37540065596999483,0.6731880663348238,0.023424857339815586,0.41027631832664313
chapman,cpsc,resnet1d,42,0.08913574524971235,1.536391908969336,0.0357197411828959,0.9337922075834487,0.5267600718214366,0.6731880663348238,0.03407097682018001,0.3642602715900238
chapman,cpsc,resnet1d,43,0.04570848913592723,1.2230026173428343,0.02512615888994589,0.8885178900497829,0.2957122165425474,0.6731880663348238,0.014578848068252714,0.3682531135489075
chapman,cpsc,resnet1d,44,0.06056163675937554,1.32363375510813,0.023305240576167223,1.0809088995788279,0.18546760639746232,0.6731880663348238,0.021911075375428246,0.36277941453207685
chapman,cpsc,resnet1d,45,0.07890143057099253,1.5302072131829394,0.030941313026287498,1.1240294732483882,0.2990187040703905,0.6731880663348238,0.030941330404700818,0.3822009342934938
chapman,cpsc,resnet1d,46,0.05860921224487403,1.3437981326004593,0.027601415909800402,0.8510355851522298,0.39850785017907203,0.6731880663348238,0.01838964356383388,0.40440288771398447
cpsc,chapman,inceptiontime,42,-0.08124748416801751,2.750045974462376,0.20088199834396453,1.7034226713508822,1.072330552868732,0.6718543735513052,0.2008819749548001,0.0844072361541192
cpsc,chapman,inceptiontime,43,0.03456009534184626,2.8206852650068517,0.23078046990114154,1.2761638217111146,1.1911389432292692,0.6718543735513052,0.23078044468379189,0.14557546996118567
cpsc,chapman,inceptiontime,44,-0.08176738935180156,2.4961144294954902,0.20373320202284223,1.2848576535638903,0.9923770214257396,0.6718543735513052,0.20234607617137723,0.0760218127771361
cpsc,chapman,inceptiontime,45,0.05347922128011928,3.4375648270228827,0.28715779921792617,2.0521096522285793,1.6575172682307482,0.6718543735513052,0.28715782608934826,0.18106810001636647
cpsc,chapman,inceptiontime,46,0.12023138413110049,2.195875689458944,0.2133665157385903,3.878378623890028,1.5424498418545143,0.6718543735513052,0.20036753185071637,0.1743857961462386
cpsc,chapman,resnet1d,42,-0.02157276836002829,2.060572895694346,0.18540069101035533,1.0745778594309296,0.886238866893684,0.6718543735513052,0.1774483804809548,0.09084205437092062
cpsc,chapman,resnet1d,43,0.058762907909012535,2.551371826992733,0.27180389417181233,1.0736135670724207,1.5858661129385456,0.6718543735513052,0.27180393859961716,0.1607136018593062
cpsc,chapman,resnet1d,44,0.07819518558874153,3.129229593252759,0.2799616582263642,3.2985367905825345,1.8066989698988065,0.6718543735513052,0.2799615824582398,0.17790736106684135
