src,tgt,arch,seed,d_obs,T,ece_cal,s_hat,b_hat,pi_l1,gap_cal,e_raw,ent_tgt,ent_cal,ent_ratio,conf_tgt,conf_cal
chapman,cpsc,inceptiontime,42,0.0836953108896534,1.432226584951807,0.0271086877888654,1.049571704228512,0.224442353113113,0.6731880663348238,0.0271087648773385,0.4086441776969215,0.48270062,0.38594458,1.2506993,0.8257565,0.8603579
chapman,cpsc,inceptiontime,43,0.0549284557506853,1.2633181192034328,0.0274273585104593,1.1028996590373474,0.0342828497354835,0.6731880663348238,0.0151084718709042,0.3293825154549066,0.51066595,0.42931354,1.1894941,0.81358284,0.84633636
chapman,cpsc,inceptiontime,44,0.1041933843461966,1.6118524192088628,0.0440397790852913,0.9120024318044804,0.5730216042269569,0.6731880663348238,0.0427798576701946,0.4059239742850933,0.4358611,0.3084986,1.4128463,0.8332453,0.89118814
chapman,cpsc,inceptiontime,45,0.0466396756025491,1.2438574579845358,0.0204519592432616,0.8947676879499653,0.1675096131650899,0.6731880663348238,0.0056367093050582,0.3709262429103146,0.53833586,0.38927734,1.3829108,0.78317714,0.8545503
chapman,cpsc,inceptiontime,46,0.0762714041133608,1.4799010609485748,0.0234248500059444,0.9301546743831196,0.3754006559699948,0.6731880663348238,0.0234248573398155,0.4102763183266431,0.38468415,0.2724471,1.4119589,0.84661084,0.89861435
chapman,cpsc,resnet1d,42,0.0891357452497123,1.536391908969336,0.0357197411828959,0.9337922075834488,0.5267600718214366,0.6731880663348238,0.03407097682018,0.3642602715900238,0.4075968,0.25234637,1.6152276,0.84019613,0.90824986
chapman,cpsc,resnet1d,43,0.0457084891359272,1.2230026173428343,0.0251261588899458,0.8885178900497829,0.2957122165425474,0.6731880663348238,0.0145788480682527,0.3682531135489075,0.5416408,0.33453837,1.6190693,0.7882823,0.88117814
chapman,cpsc,resnet1d,44,0.0605616367593755,1.32363375510813,0.0233052405761672,1.080908899578828,0.1854676063974623,0.6731880663348238,0.0219110753754282,0.3627794145320768,0.45750886,0.31647047,1.4456605,0.83093697,0.8849732
chapman,cpsc,resnet1d,45,0.0789014305709925,1.5302072131829394,0.0309413130262874,1.1240294732483882,0.2990187040703905,0.6731880663348238,0.0309413304047008,0.3822009342934938,0.36353847,0.24023221,1.5132794,0.85424757,0.9041096
chapman,cpsc,resnet1d,46,0.058609212244874,1.343798132600459,0.0276014159098004,0.8510355851522298,0.398507850179072,0.6731880663348238,0.0183896435638338,0.4044028877139844,0.44671804,0.28112382,1.5890437,0.8205429,0.89509505
cpsc,chapman,inceptiontime,42,-0.0812474841680175,2.750045974462376,0.2008819983439645,1.7034226713508822,1.072330552868732,0.6718543735513052,0.2008819749548001,0.0844072361541192,0.6901468,0.68417704,1.0087255,0.72058713,0.7266853
cpsc,chapman,inceptiontime,43,0.0345600953418462,2.820685265006852,0.2307804699011415,1.2761638217111146,1.1911389432292692,0.6718543735513052,0.2307804446837918,0.1455754699611856,0.70017713,0.65280586,1.0725657,0.7168235,0.73516214
cpsc,chapman,inceptiontime,44,-0.0817673893518015,2.4961144294954902,0.2037332020228422,1.2848576535638905,0.9923770214257396,0.6718543735513052,0.2023460761713772,0.0760218127771361,0.71140224,0.71676326,0.9925205,0.71523356,0.7174386
cpsc,chapman,inceptiontime,45,0.0534792212801192,3.4375648270228827,0.2871577992179261,2.0521096522285798,1.6575172682307482,0.6718543735513052,0.2871578260893482,0.1810681000163664,0.58400726,0.5825701,1.002467,0.7636856,0.7671968
cpsc,chapman,inceptiontime,46,0.1202313841311004,2.195875689458944,0.2133665157385903,3.878378623890028,1.5424498418545145,0.6718543735513052,0.2003675318507163,0.1743857961462386,0.88189375,0.8603109,1.0250872,0.63461834,0.64924777
cpsc,chapman,resnet1d,42,-0.0215727683600282,2.060572895694346,0.1854006910103553,1.0745778594309296,0.886238866893684,0.6718543735513052,0.1774483804809548,0.0908420543709206,0.8325382,0.7953372,1.0467739,0.66250867,0.6857249
cpsc,chapman,resnet1d,43,0.0587629079090125,2.551371826992733,0.2718038941718123,1.0736135670724207,1.5858661129385456,0.6718543735513052,0.2718039385996171,0.1607136018593062,0.5426785,0.56683844,0.9573777,0.7963882,0.7830016
cpsc,chapman,resnet1d,44,0.0781951855887415,3.129229593252759,0.2799616582263642,3.2985367905825345,1.8066989698988063,0.6718543735513052,0.2799615824582398,0.1779073610668413,0.70639443,0.68859655,1.0258466,0.714542,0.73176295
cpsc,chapman,resnet1d,45,-0.0889030002532009,2.7420855896660727,0.2584996068779426,1.4598562294852344,1.374236011603617,0.6718543735513052,0.2584995502041981,0.0909461725640621,0.6015661,0.6263888,0.96037173,0.76578194,0.7599601
cpsc,chapman,resnet1d,46,-0.0075821934406978,3.1824909238724364,0.281242206387998,2.545528666921743,1.5712150423726738,0.6718543735513052,0.2812422806471441,0.1496576291629917,0.56303346,0.5827727,0.9661288,0.7816683,0.7778343
chapman,ptbxl,inceptiontime,42,-0.0018959534858714,0.9843878285278692,0.0181592090335893,1.0922693927715377,-0.0760931008146526,0.9515244526294252,0.0005457179045971,0.2662113383000727,0.76662683,0.527778,1.4525554,0.71972775,0.81782967
chapman,ptbxl,inceptiontime,43,0.0106016239230193,1.0389052896119757,0.0203656715522577,1.0975089355777063,0.038004853715474,0.9515244526294252,0.0139862840263932,0.2572063001946411,0.71055883,0.48052558,1.4787117,0.74637973,0.83917147
chapman,ptbxl,inceptiontime,44,0.0149516182530841,1.0593890951682814,0.0182647679175859,1.1545611486871123,-0.1038417572322901,0.9515244526294252,0.005385050508711,0.2597660027842275,0.68037564,0.43316028,1.570725,0.75239956,0.8498295
chapman,ptbxl,inceptiontime,45,0.0250500046669066,1.1039696491394246,0.015076983048592,1.007659225137088,0.0368374775570522,0.9515244526294252,0.0045999079869116,0.2774850345914754,0.65622497,0.4191891,1.5654628,0.74532235,0.84361225
chapman,ptbxl,inceptiontime,46,0.0150302070235543,1.074181147812797,0.0242703967918584,1.0610641716212563,0.0389330949063332,0.9515244526294252,0.0093419678122909,0.2553668028604698,0.61864436,0.38001782,1.6279352,0.776085,0.8641568
chapman,ptbxl,resnet1d,42,0.0301169426584856,1.1246112144742808,0.0168365619653537,1.1675323925446943,-0.01792496923585,0.9515244526294252,0.0137236961317651,0.2460767997096037,0.5602496,0.32219252,1.738866,0.8045482,0.8882916
chapman,ptbxl,resnet1d,43,0.0282542705207975,1.1279481087131698,0.0173103021839518,1.1909189241943254,-0.0095399913034137,0.9515244526294252,0.0162450302088702,0.2763087120092375,0.5000024,0.28835413,1.7339872,0.8241908,0.90217096
chapman,ptbxl,resnet1d,44,0.01681227345543,1.0684319939700566,0.0174496995078193,1.103586386099909,0.0371242377567982,0.9515244526294252,0.0115900373753206,0.2586594414837233,0.58554775,0.31477964,1.860183,0.79641265,0.89554065
chapman,ptbxl,resnet1d,45,-0.0034570564966404,0.9878828624250616,0.0175320331255594,0.9301980454521658,0.1366983446847491,0.9515244526294252,0.0073487107842057,0.2561521269724074,0.69449574,0.5232455,1.3272847,0.76029575,0.8325339
chapman,ptbxl,resnet1d,46,0.0145818760136364,1.063524700627107,0.0157485176310127,1.0949267908398477,-0.0051455200173667,0.9515244526294252,0.0082614206679073,0.2440011537536073,0.5421477,0.34090903,1.5903002,0.8061558,0.8803602
ptbxl,chapman,inceptiontime,42,0.029292816323636,1.137414233816701,0.0555064664934386,1.1195488527216109,0.2609005291958718,0.9542237325369856,0.0555064866562702,0.1211249591686107,0.64108425,0.67533153,0.9492882,0.76788676,0.7575454
ptbxl,chapman,inceptiontime,43,0.0271460692198052,1.1058476761558191,0.043783915288698,1.1780930885338223,0.1021764767506173,0.9542237325369856,0.0387739393311148,0.1602237796857033,0.6653846,0.70424443,0.9448205,0.7587861,0.75332445
ptbxl,chapman,inceptiontime,44,0.0210807530251735,1.0737596178986828,0.0440487232718675,1.1025551043587334,0.1808599278081448,0.9542237325369856,0.0422573622119327,0.1822175158689051,0.7084071,0.7179298,0.98673594,0.7397254,0.75124717
ptbxl,chapman,inceptiontime,45,0.0246035846494171,1.0935977150684193,0.037778221036241,1.2490372664374048,-0.0210730721382592,0.9542237325369856,0.0281198394309601,0.1277363348154374,0.69826,0.7018104,0.99494106,0.74082273,0.7514748
ptbxl,chapman,inceptiontime,46,-0.0031090601092219,0.9896139822060166,0.0326559016890167,0.9844196472384068,0.019838234485397,0.9542237325369856,0.0018040205837953,0.1617591566656842,0.8663992,0.87015283,0.9956863,0.6600307,0.68530726
ptbxl,chapman,resnet1d,42,0.0205282211909341,1.108266135223491,0.046317102416894,1.2399446991268472,0.0303631767727565,0.9542237325369856,0.0345575591278253,0.1077042396716129,0.60162973,0.6342399,0.94858384,0.77996457,0.77413124
ptbxl,chapman,resnet1d,43,0.0428328953337525,1.1905984840602917,0.0588777835331546,1.214412269766309,0.2479877453948645,0.9542237325369856,0.0588777616026227,0.1315917364241164,0.53724605,0.5559731,0.9663166,0.8033553,0.80354875
ptbxl,chapman,resnet1d,44,0.0229905175037337,1.1033856277718943,0.0432287101617447,1.275798668030828,-0.0175249486906183,0.9542237325369856,0.0332366093868895,0.1422944752301699,0.57533413,0.6531697,0.8808341,0.79237473,0.7704933
