# C4 ResNet1D 8方法对比
# ResNet1D 实验数: 30
# InceptionTime 实验数: 30

## 详细数据（每实验×方法）
arch,pair,seed,method,n_id,n_ood,id_acc,ood_acc,id_deltaECE,ood_deltaECE,ood_ci_lo,ood_ci_hi,ood_ci_width,decay,id_ood_gap,support
inceptiontime,ptbxl_chapman,42,ts,2172,4050,0.7186924493554327,0.6474074074074074,0.023938098269606377,0.03081966880971733,0.027473789928638203,0.03348194408655707,0.006008154157918864,0.0068815705401109525,0.0068815705401109525,1
inceptiontime,ptbxl_chapman,42,platt,2172,4050,0.7186924493554327,0.6474074074074074,0.025491986215649385,0.03549808432320867,0.02758094093905102,0.04090796041504293,0.013327019475991912,0.010006098107559282,0.010006098107559282,1
inceptiontime,ptbxl_chapman,42,isotonic,2172,4050,0.7186924493554327,0.6474074074074074,0.01436958510905699,0.03506221721849581,0.030557923946902734,0.03867659323403003,0.008118669287127293,0.02069263210943882,0.02069263210943882,1
inceptiontime,ptbxl_chapman,42,vector,2172,4050,0.7186924493554327,0.6474074074074074,0.030807623634353857,0.03139289680097271,0.023622928664008003,0.03696888192246585,0.013345953258457846,0.0005852731666188514,0.0005852731666188514,1
inceptiontime,ptbxl_chapman,42,matrix,2172,4050,0.7186924493554327,0.6474074074074074,0.03531497441135678,0.03246762975042504,0.02611950583142072,0.03784039909169881,0.01172089326027809,-0.0028473446609317415,-0.0028473446609317415,1
inceptiontime,ptbxl_chapman,42,dirichlet,2172,4050,0.7186924493554327,0.6474074074074074,0.03525680357893565,0.03212102866812867,0.024150547436642533,0.03788885732958052,0.013738309892937988,-0.0031357749108069793,-0.0031357749108069793,1
inceptiontime,ptbxl_chapman,42,em_prior,2172,4050,0.7186924493554327,0.6474074074074074,-0.027562586664474475,0.031503876799218275,0.016515528170860747,0.04588327510530699,0.029367746934446246,0.05906646346369275,0.05906646346369275,1
inceptiontime,ptbxl_chapman,42,bbse_prior,2172,4050,0.7186924493554327,0.6474074074074074,-0.04159505345320841,0.023734620954040705,0.008911970524023814,0.038081525717553556,0.02916955519352974,0.06532967440724911,0.06532967440724911,1
inceptiontime,ptbxl_chapman,43,ts,2172,4050,0.7071823204419889,0.6014814814814815,0.024476237680754707,0.02542057445303661,0.022471470650982504,0.02772873948413996,0.005257268833157455,0.0009443367722819021,0.0009443367722819021,1
inceptiontime,ptbxl_chapman,43,platt,2172,4050,0.7071823204419889,0.6014814814814815,0.025483066820287798,0.020810649146697335,0.011902877169178684,0.027490849899689435,0.015587972730510751,-0.004672417673590463,-0.004672417673590463,1
inceptiontime,ptbxl_chapman,43,isotonic,2172,4050,0.7071823204419889,0.6014814814814815,0.01978082922339213,0.028154460437854495,0.02209080572856211,0.03269178200453378,0.010600976275971667,0.008373631214462364,0.008373631214462364,1
inceptiontime,ptbxl_chapman,43,vector,2172,4050,0.7071823204419889,0.6014814814814815,0.02621521005689291,0.021670096088766216,0.011702994187458092,0.028467399502753798,0.016764405315295706,-0.004545113968126693,-0.004545113968126693,1
inceptiontime,ptbxl_chapman,43,matrix,2172,4050,0.7071823204419889,0.6014814814814815,0.023168113643846272,0.03218883303068426,0.02366866432401656,0.03668939363091268,0.013020729306896118,0.009020719386837989,0.009020719386837989,1
inceptiontime,ptbxl_chapman,43,dirichlet,2172,4050,0.7071823204419889,0.6014814814814815,0.023163731193884228,0.03225229754673445,0.024913391238279407,0.036013513666345906,0.0111001224280665,0.00908856635285022,0.00908856635285022,1
inceptiontime,ptbxl_chapman,43,em_prior,2172,4050,0.7071823204419889,0.6014814814814815,-0.03387170993781689,0.05635341879024017,0.04403418643734762,0.0703412870334782,0.026307100596130575,0.09022512872805706,0.09022512872805706,1
