# discrimination_metrics_60exp —— OLD 编码修正版（variant=raw）
# 由 scripts/recompute_discrimination_old_encoding.py 生成。
# 原 results/discrimination_metrics_60exp.csv（09-10）用 NEW 标签
# 配 OLD probs，判别力被系统性低估；本表用 OLD 标签重算。
# 逐方向 OOD AUROC 均值：污染 0.629–0.792 → 正确 0.735–0.843。
# 重编码 cell 数,40;未改动(5类)cell 数,22
source,target,arch,seed,split,variant,auroc,auprc,f1,ppv,npv,mcc,auroc_ts_minus_raw,auprc_ts_minus_raw
chapman,cpsc,inceptiontime,seed42,cal,raw,0.861000,0.480555,0.444276,0.520101,0.921717,0.641064,,
chapman,cpsc,inceptiontime,seed42,test,raw,0.708726,0.459197,0.356284,0.433442,0.807566,0.254896,,
chapman,cpsc,inceptiontime,seed43,cal,raw,0.869107,0.498188,0.400207,0.399147,0.884092,0.577185,,
chapman,cpsc,inceptiontime,seed43,test,raw,0.711584,0.434913,0.260144,0.205035,0.764295,0.101672,,
chapman,cpsc,inceptiontime,seed44,cal,raw,0.937265,0.602900,0.555865,0.546204,0.943447,0.721996,,
chapman,cpsc,inceptiontime,seed44,test,raw,0.786290,0.564969,0.375317,0.422647,0.812060,0.274504,,
chapman,cpsc,inceptiontime,seed45,cal,raw,0.893451,0.554602,0.530964,0.530945,0.931092,0.693214,,
chapman,cpsc,inceptiontime,seed45,test,raw,0.703992,0.463354,0.337642,0.396716,0.790961,0.197327,,
chapman,cpsc,inceptiontime,seed46,cal,raw,0.946522,0.625599,0.555562,0.605952,0.942476,0.747813,,
chapman,cpsc,inceptiontime,seed46,test,raw,0.789984,0.592198,0.353281,0.441935,0.793316,0.218523,,
chapman,cpsc,resnet1d,seed42,cal,raw,0.933281,0.647968,0.572298,0.601318,0.942936,0.751994,,
chapman,cpsc,resnet1d,seed42,test,raw,0.804190,0.611074,0.408507,0.457897,0.821718,0.322104,,
chapman,cpsc,resnet1d,seed43,cal,raw,0.858437,0.585799,0.549526,0.595720,0.939954,0.731688,,
chapman,cpsc,resnet1d,seed43,test,raw,0.748817,0.530375,0.344758,0.429527,0.804802,0.244276,,
chapman,cpsc,resnet1d,seed44,cal,raw,0.846750,0.604302,0.571489,0.606059,0.931457,0.721778,,
chapman,cpsc,resnet1d,seed44,test,raw,0.778202,0.526413,0.405886,0.445221,0.816031,0.303852,,
chapman,cpsc,resnet1d,seed45,cal,raw,0.935615,0.631920,0.581240,0.619411,0.932556,0.742835,,
chapman,cpsc,resnet1d,seed45,test,raw,0.789368,0.586149,0.427738,0.457933,0.830751,0.351305,,
chapman,cpsc,resnet1d,seed46,cal,raw,0.903460,0.584832,0.540172,0.579025,0.947468,0.752733,,
chapman,cpsc,resnet1d,seed46,test,raw,0.733177,0.509930,0.376290,0.438363,0.809769,0.270470,,
chapman,ptbxl,inceptiontime,seed42,cal,raw,0.842151,0.385579,0.322589,0.306802,0.922012,0.590467,,
chapman,ptbxl,inceptiontime,seed42,test,raw,0.698005,0.358053,0.232743,0.209241,0.855496,0.312915,,
chapman,ptbxl,inceptiontime,seed43,cal,raw,0.858448,0.398903,0.325885,0.310643,0.923491,0.603826,,
chapman,ptbxl,inceptiontime,seed43,test,raw,0.702752,0.364603,0.240541,0.205242,0.858768,0.323218,,
chapman,ptbxl,inceptiontime,seed44,cal,raw,0.896610,0.464590,0.404042,0.472607,0.929864,0.644945,,
chapman,ptbxl,inceptiontime,seed44,test,raw,0.723087,0.396918,0.269119,0.360236,0.861998,0.341614,,
chapman,ptbxl,inceptiontime,seed45,cal,raw,0.875228,0.427261,0.368061,0.515804,0.934557,0.644491,,
chapman,ptbxl,inceptiontime,seed45,test,raw,0.694965,0.338971,0.240205,0.344529,0.854489,0.300357,,
chapman,ptbxl,inceptiontime,seed46,cal,raw,0.923414,0.524448,0.438104,0.415193,0.947879,0.690983,,
chapman,ptbxl,inceptiontime,seed46,test,raw,0.733485,0.395963,0.302303,0.290844,0.869863,0.371496,,
chapman,ptbxl,resnet1d,seed42,cal,raw,0.921018,0.522176,0.458666,0.474974,0.950160,0.724740,,
chapman,ptbxl,resnet1d,seed42,test,raw,0.781352,0.433268,0.309545,0.357741,0.874658,0.405562,,
chapman,ptbxl,resnet1d,seed43,cal,raw,0.941957,0.630933,0.493623,0.477524,0.959328,0.757773,,
chapman,ptbxl,resnet1d,seed43,test,raw,0.766324,0.421611,0.308011,0.283787,0.872888,0.384585,,
chapman,ptbxl,resnet1d,seed44,cal,raw,0.949745,0.558871,0.452500,0.472561,0.951465,0.741213,,
chapman,ptbxl,resnet1d,seed44,test,raw,0.773679,0.428899,0.283341,0.291556,0.871363,0.384994,,
chapman,ptbxl,resnet1d,seed45,cal,raw,0.856703,0.410737,0.326090,0.309055,0.934075,0.622900,,
chapman,ptbxl,resnet1d,seed45,test,raw,0.714160,0.376747,0.245738,0.206067,0.861463,0.335490,,
chapman,ptbxl,resnet1d,seed46,cal,raw,0.922518,0.534874,0.474345,0.449743,0.955452,0.729837,,
chapman,ptbxl,resnet1d,seed46,test,raw,0.765090,0.415757,0.332191,0.298204,0.876418,0.403928,,
cpsc,chapman,inceptiontime,seed42,cal,raw,0.891554,0.712728,0.660908,0.699036,0.886235,0.571760,,
cpsc,chapman,inceptiontime,seed42,test,raw,0.836758,0.456000,0.344534,0.448852,0.789192,0.183675,,
cpsc,chapman,inceptiontime,seed43,cal,raw,0.913248,0.775688,0.615380,0.756989,0.883186,0.562276,,
cpsc,chapman,inceptiontime,seed43,test,raw,0.826764,0.513596,0.297299,0.432123,0.768737,0.096947,,
cpsc,chapman,inceptiontime,seed44,cal,raw,0.887623,0.724058,0.644920,0.679752,0.874580,0.527630,,
cpsc,chapman,inceptiontime,seed44,test,raw,0.841753,0.471992,0.342607,0.478164,0.793452,0.189917,,
cpsc,chapman,inceptiontime,seed45,cal,raw,0.910157,0.761484,0.698071,0.711335,0.899133,0.601199,,
cpsc,chapman,inceptiontime,seed45,test,raw,0.813140,0.496811,0.328383,0.469374,0.776375,0.137263,,
cpsc,chapman,inceptiontime,seed46,cal,raw,0.843391,0.638195,0.611043,0.618096,0.868310,0.475038,,
cpsc,chapman,inceptiontime,seed46,test,raw,0.749721,0.404862,0.265815,0.403594,0.767992,0.082316,,
cpsc,chapman,resnet1d,seed42,cal,raw,0.864001,0.663872,0.615968,0.644103,0.865226,0.486116,,
cpsc,chapman,resnet1d,seed42,test,raw,0.782832,0.435412,0.339376,0.417337,0.791179,0.182155,,
cpsc,chapman,resnet1d,seed43,cal,raw,0.923777,0.784708,0.701116,0.751267,0.904844,0.638939,,
cpsc,chapman,resnet1d,seed43,test,raw,0.851119,0.554587,0.366224,0.513928,0.786154,0.190238,,
cpsc,chapman,resnet1d,seed44,cal,raw,0.916343,0.771814,0.680214,0.679941,0.899877,0.590629,,
cpsc,chapman,resnet1d,seed44,test,raw,0.848785,0.542437,0.330751,0.464260,0.794448,0.185743,,
cpsc,chapman,resnet1d,seed45,cal,raw,0.895622,0.710699,0.669082,0.670615,0.894669,0.580621,,
cpsc,chapman,resnet1d,seed45,test,raw,0.834954,0.527891,0.427258,0.486424,0.839826,0.355101,,
cpsc,chapman,resnet1d,seed46,cal,raw,0.926844,0.798124,0.726026,0.734188,0.911351,0.646947,,
cpsc,chapman,resnet1d,seed46,test,raw,0.865167,0.561294,0.398940,0.526254,0.797690,0.228738,,
cpsc,ptbxl,inceptiontime,seed42,cal,raw,0.891554,0.712728,0.660908,0.699036,0.886235,0.571760,,
cpsc,ptbxl,inceptiontime,seed42,test,raw,0.817137,0.616668,0.424145,0.585377,0.816710,0.315538,,
cpsc,ptbxl,inceptiontime,seed43,cal,raw,0.913248,0.775688,0.615380,0.756989,0.883186,0.562276,,
cpsc,ptbxl,inceptiontime,seed43,test,raw,0.799653,0.594297,0.382941,0.573819,0.806849,0.288561,,
cpsc,ptbxl,inceptiontime,seed44,cal,raw,0.914275,0.772427,0.710259,0.718510,0.900261,0.610412,,
cpsc,ptbxl,inceptiontime,seed44,test,raw,0.816248,0.614422,0.458924,0.581757,0.825918,0.344075,,
cpsc,ptbxl,inceptiontime,seed45,cal,raw,0.902626,0.736093,0.629471,0.700553,0.889644,0.570976,,
cpsc,ptbxl,inceptiontime,seed45,test,raw,0.803029,0.571280,0.397030,0.563856,0.812209,0.290465,,
cpsc,ptbxl,inceptiontime,seed46,cal,raw,0.900062,0.761707,0.673108,0.679451,0.886932,0.561725,,
cpsc,ptbxl,inceptiontime,seed46,test,raw,0.830541,0.627801,0.490062,0.592630,0.835409,0.374702,,
cpsc,ptbxl,resnet1d,seed42,cal,raw,0.911558,0.760585,0.705842,0.715362,0.903532,0.619575,,
cpsc,ptbxl,resnet1d,seed42,test,raw,0.790461,0.554686,0.401324,0.543079,0.810328,0.277156,,
cpsc,ptbxl,resnet1d,seed43,cal,raw,0.900751,0.746642,0.680407,0.713033,0.895026,0.594432,,
cpsc,ptbxl,resnet1d,seed43,test,raw,0.779169,0.564554,0.387208,0.552614,0.804160,0.270901,,
cpsc,ptbxl,resnet1d,seed44,cal,raw,0.924438,0.794649,0.726370,0.736608,0.910437,0.644184,,
cpsc,ptbxl,resnet1d,seed44,test,raw,0.791739,0.556205,0.392173,0.554971,0.809550,0.275136,,
cpsc,ptbxl,resnet1d,seed45,cal,raw,0.919748,0.781851,0.739909,0.741212,0.914942,0.665652,,
cpsc,ptbxl,resnet1d,seed45,test,raw,0.805401,0.579598,0.443746,0.552566,0.823604,0.322254,,
cpsc,ptbxl,resnet1d,seed46,cal,raw,0.926262,0.795826,0.728369,0.727484,0.911678,0.645790,,
cpsc,ptbxl,resnet1d,seed46,test,raw,0.810656,0.595500,0.431246,0.549305,0.818059,0.306060,,
ptbxl,chapman,inceptiontime,seed42,cal,raw,0.880631,0.606041,0.538045,0.543318,0.916137,0.581364,,
ptbxl,chapman,inceptiontime,seed42,test,raw,0.833228,0.381897,0.343097,0.347626,0.901841,0.421898,,
ptbxl,chapman,inceptiontime,seed43,cal,raw,0.865007,0.595085,0.540198,0.556366,0.917351,0.594118,,
ptbxl,chapman,inceptiontime,seed43,test,raw,0.835668,0.398640,0.333513,0.353533,0.899764,0.409559,,
ptbxl,chapman,inceptiontime,seed44,cal,raw,0.876962,0.602981,0.533220,0.548165,0.915518,0.585674,,
ptbxl,chapman,inceptiontime,seed44,test,raw,0.821450,0.370615,0.315344,0.340950,0.891251,0.377624,,
