direction,source,target,arch,seed,shift,shift_type,raw_ece,raw_brier_rel,ts_brier_rel,ts_delta_ece,brier_rel_improvement,safety,safety_source
ptbxl->chapman,ptbxl,chapman,resnet1d,42,fs250,downsample,0.25897295988102054,0.07588678558089675,0.0631022845269499,-0.025923396641940877,0.01278450105394685,1,computed
ptbxl->chapman,ptbxl,chapman,resnet1d,42,fs125,downsample,0.350324447063143,0.1340171569045812,0.11738016263872417,-0.026146012461434887,0.01663699426585702,1,computed
ptbxl->chapman,ptbxl,chapman,resnet1d,42,leads6,leads,0.059796074875480394,0.008506363229556462,0.007697309566803241,-0.004968137764897386,0.0008090536627532209,1,computed
ptbxl->chapman,ptbxl,chapman,resnet1d,42,leads3,leads,0.2320880823611884,0.059056524907725644,0.05012145975954952,-0.026087930190401037,0.008935065148176123,1,computed
ptbxl->chapman,ptbxl,chapman,resnet1d,42,leads2,leads,0.430129059003499,0.2043450043320193,0.18451724859779498,-0.020547349766685208,0.019827755734224323,1,computed
ptbxl->chapman,ptbxl,chapman,resnet1d,42,leads1,leads,0.56067156242364,0.3313994064454998,0.30593237825772013,-0.022728889459958768,0.025467028187779683,1,computed
ptbxl->chapman,ptbxl,chapman,resnet1d,42,noise24,noise,0.10400488423329547,0.014121191893351714,0.009506771886050546,-0.02549716908528872,0.004614420007301168,1,computed
ptbxl->chapman,ptbxl,chapman,resnet1d,42,noise12,noise,0.10393003045504881,0.013001647753529497,0.008428795287440402,-0.024377498758928237,0.004572852466089095,1,computed
ptbxl->chapman,ptbxl,chapman,resnet1d,42,noise6,noise,0.10463088260100216,0.012971993124418425,0.007813942902579583,-0.022531646312491993,0.0051580502218388415,1,computed
ptbxl->chapman,ptbxl,chapman,resnet1d,42,noise0,noise,0.08530594622832341,0.007629642257940019,0.0038486989858248564,-0.023217286687111573,0.0037809432721151626,1,computed
ptbxl->chapman,ptbxl,chapman,resnet1d,42,noise-6,noise,0.2207592457037929,0.05621423084283346,0.045147556224321345,-0.022779032656142062,0.011066674618512115,1,computed
ptbxl->chapman,ptbxl,chapman,resnet1d,42,gain0.5,gain,0.10874972543540118,0.014957898224516037,0.01139187289016845,-0.027042008851065766,0.0035660253343475865,1,computed
ptbxl->chapman,ptbxl,chapman,resnet1d,42,gain2.0,gain,0.15969557202239118,0.028421268463697094,0.021205102631437097,-0.023135962733248666,0.007216165832259997,1,computed
ptbxl->chapman,ptbxl,chapman,resnet1d,43,fs250,downsample,0.3033348416119665,0.10750690810460106,0.08145028562376079,-0.04439498852030471,0.026056622480840272,1,computed
