T,dist,kind,n_cells,dECE_noise,dECE_primary
0.7000,empirical:chapman_cpsc_inceptiontime_seed42,empirical,60,0.027187,-0.027187
0.8000,empirical:chapman_cpsc_inceptiontime_seed42,empirical,60,0.013309,-0.013309
0.9000,empirical:chapman_cpsc_inceptiontime_seed42,empirical,60,0.003285,-0.003285
1.0000,empirical:chapman_cpsc_inceptiontime_seed42,empirical,60,-0.000000,0.000000
1.1000,empirical:chapman_cpsc_inceptiontime_seed42,empirical,60,0.002281,-0.002281
1.2500,empirical:chapman_cpsc_inceptiontime_seed42,empirical,60,0.014499,-0.014499
1.4000,empirical:chapman_cpsc_inceptiontime_seed42,empirical,60,0.030835,-0.030835
1.5000,empirical:chapman_cpsc_inceptiontime_seed42,empirical,60,0.040956,-0.040956
2.0000,empirical:chapman_cpsc_inceptiontime_seed42,empirical,60,0.083516,-0.083516
3.0000,empirical:chapman_cpsc_inceptiontime_seed42,empirical,60,0.140380,-0.140380
4.5000,empirical:chapman_cpsc_inceptiontime_seed42,empirical,60,0.187411,-0.187411
0.7000,empirical:chapman_cpsc_inceptiontime_seed43,empirical,60,0.030576,-0.030576
0.8000,empirical:chapman_cpsc_inceptiontime_seed43,empirical,60,0.018318,-0.018318
0.9000,empirical:chapman_cpsc_inceptiontime_seed43,empirical,60,0.007179,-0.007179
1.0000,empirical:chapman_cpsc_inceptiontime_seed43,empirical,60,0.000000,-0.000000
1.1000,empirical:chapman_cpsc_inceptiontime_seed43,empirical,60,0.002537,-0.002537
1.2500,empirical:chapman_cpsc_inceptiontime_seed43,empirical,60,0.018303,-0.018303
1.4000,empirical:chapman_cpsc_inceptiontime_seed43,empirical,60,0.034900,-0.034900
1.5000,empirical:chapman_cpsc_inceptiontime_seed43,empirical,60,0.045360,-0.045360
2.0000,empirical:chapman_cpsc_inceptiontime_seed43,empirical,60,0.090429,-0.090429
3.0000,empirical:chapman_cpsc_inceptiontime_seed43,empirical,60,0.150743,-0.150743
4.5000,empirical:chapman_cpsc_inceptiontime_seed43,empirical,60,0.197614,-0.197614
0.7000,empirical:chapman_cpsc_inceptiontime_seed44,empirical,60,0.034394,-0.034394
0.8000,empirical:chapman_cpsc_inceptiontime_seed44,empirical,60,0.020732,-0.020732
0.9000,empirical:chapman_cpsc_inceptiontime_seed44,empirical,60,0.008086,-0.008086
1.0000,empirical:chapman_cpsc_inceptiontime_seed44,empirical,60,-0.000000,0.000000
1.1000,empirical:chapman_cpsc_inceptiontime_seed44,empirical,60,0.004592,-0.004592
1.2500,empirical:chapman_cpsc_inceptiontime_seed44,empirical,60,0.021499,-0.021499
1.4000,empirical:chapman_cpsc_inceptiontime_seed44,empirical,60,0.038514,-0.038514
1.5000,empirical:chapman_cpsc_inceptiontime_seed44,empirical,60,0.049103,-0.049103
2.0000,empirical:chapman_cpsc_inceptiontime_seed44,empirical,60,0.093935,-0.093935
3.0000,empirical:chapman_cpsc_inceptiontime_seed44,empirical,60,0.153121,-0.153121
4.5000,empirical:chapman_cpsc_inceptiontime_seed44,empirical,60,0.201017,-0.201017
0.7000,empirical:chapman_cpsc_inceptiontime_seed45,empirical,60,0.032134,-0.032134
0.8000,empirical:chapman_cpsc_inceptiontime_seed45,empirical,60,0.018992,-0.018992
0.9000,empirical:chapman_cpsc_inceptiontime_seed45,empirical,60,0.007417,-0.007417
1.0000,empirical:chapman_cpsc_inceptiontime_seed45,empirical,60,0.000000,-0.000000
1.1000,empirical:chapman_cpsc_inceptiontime_seed45,empirical,60,0.000537,-0.000537
1.2500,empirical:chapman_cpsc_inceptiontime_seed45,empirical,60,0.011811,-0.011811
1.4000,empirical:chapman_cpsc_inceptiontime_seed45,empirical,60,0.027001,-0.027001
1.5000,empirical:chapman_cpsc_inceptiontime_seed45,empirical,60,0.036414,-0.036414
2.0000,empirical:chapman_cpsc_inceptiontime_seed45,empirical,60,0.075668,-0.075668
