pair,arch,seed,source,target,T_global,fit_status,n_cal,n_id,n_ood,cal_entropy_mean,cal_entropy_std,id_rel_raw,id_rel_global_T,id_delta_rel_global,id_rel_binned_T,id_delta_rel_binned_vs_global,ood_rel_raw,ood_rel_global_T,ood_delta_rel_global,ood_rel_binned_T,ood_delta_rel_binned_vs_global
ptbxl_chapman,mamba,42,ptbxl,chapman,0.605690583318535,ok,2158,2172,4050,1.5608013494490711,0.02149701346688735,0.022184991400126405,0.012189786649259193,-0.009995204750867213,0.001851871440814919,-0.010337915208444274,0.009358235355835794,0.03298788842577852,0.023629653069942722,0.03339789323770059,0.0004100048119220767
ptbxl_chapman,mamba,43,ptbxl,chapman,0.5230028440755262,ok,2158,2172,4050,1.565532854444896,0.013843728695624223,0.0205528770926364,0.005168978797879449,-0.01538389829475695,0.009168240334030952,0.003999261536151502,0.0018955949639090988,0.017939887506204545,0.016044292542295446,0.018509558500709067,0.0005696709945045217
ptbxl_chapman,resnet1d,42,ptbxl,chapman,1.1082826980335732,ok,2158,2172,4050,0.6342318753046455,0.3377172099738472,0.002147332340846113,0.000291917664335301,-0.001855414676510812,0.0013103710580142343,0.0010184533936789333,0.01378788988699566,0.009362108990003604,-0.004425780896992056,0.009350221428519743,-1.1887561483861497e-05
ptbxl_chapman,resnet1d,43,ptbxl,chapman,1.1906086945599312,ok,2158,2172,4050,0.5559717849916789,0.33534437755304247,0.003417606662253967,0.0013345437265827275,-0.0020830629356712394,0.0014470815544162592,0.00011253782783353177,0.022366982385853856,0.015475105032970742,-0.0068918773528831145,0.016652519609281085,0.001177414576310343
ptbxl_chapman,resnet1d,44,ptbxl,chapman,1.1034153981036612,ok,2158,2172,4050,0.6531596798650081,0.3249934961524918,0.0015302099240869223,0.0005898664825679812,-0.000940343441518941,0.0010286719134271981,0.0004388054308592169,0.025922005647183416,0.023278643851610367,-0.0026433617955730487,0.02614872161601177,0.002870077764401402
ptbxl_chapman,resnet1d,45,ptbxl,chapman,1.1074907194562702,ok,2158,2172,4050,0.6624917425325827,0.3210266183542022,0.0021523205461358315,0.001551630467528946,-0.0006006900786068856,0.0012671911626610543,-0.0002844393048678916,0.03178558344822024,0.027945745571816262,-0.003839837876403976,0.029147207948341997,0.0012014623765257346
ptbxl_chapman,resnet1d,46,ptbxl,chapman,1.1729257090108813,ok,2158,2172,4050,0.5702151973976904,0.3464063416028446,0.0027977612312774527,0.000279886424228964,-0.0025178748070484886,0.0004967833047282434,0.0002168968804992794,0.024662785915421065,0.01824101694562446,-0.0064217689697966054,0.01952287222713689,0.0012818552815124298
ptbxl_chapman,inceptiontime,42,ptbxl,chapman,1.13741424376758,ok,2158,2172,4050,0.6753315223947679,0.3257869878670441,0.00311709700505997,0.0007980936568620571,-0.002319003348197913,0.001300665145498437,0.0005025714886363799,0.01983150731565999,0.01608858887221846,-0.003742918443441528,0.01578725742428208,-0.00030133144793638086
ptbxl_chapman,inceptiontime,43,ptbxl,chapman,1.1058476955742147,ok,2158,2172,4050,0.7042443998339765,0.32225930125285424,0.0025003006208562,0.0015407606572944328,-0.000959539963561767,0.002123844237832474,0.0005830835805380411,0.04138572098883449,0.04681827594888634,0.00543255496005185,0.037634412149930734,-0.009183863798955604
ptbxl_chapman,inceptiontime,44,ptbxl,chapman,1.07375965770372,ok,2158,2172,4050,0.717929784910472,0.32644997577743107,0.0016171072954883703,0.0008270556446193432,-0.0007900516508690271,0.002564229906802414,0.0017371742621830706,0.03963787569935519,0.034523028471094314,-0.005114847228260874,0.03354703454424024,-0.000975993926854074
